year,employees_start,new_hires,hiring_rate_pct,revenue_billions_usd,stock_price_change_pct,gdp_growth_us_pct,unemployment_rate_us_pct,is_estimated,confidence_level,layoff_pct,workforce_growth_pct,hire_to_layoff_ratio,revenue_per_employee,layoff_pct_lag1,employees_start_lag1,revenue_billions_usd_lag1,stock_price_change_pct_lag1,new_hires_lag1,co_AMD,co_Adobe,co_Airbnb,co_Alphabet,co_Amazon,co_Apple,co_Block,co_Intel,co_LinkedIn,co_Lyft,co_Meta,co_Microsoft,co_NVIDIA,co_Netflix,co_Oracle,co_PayPal,co_Pinterest,co_SAP,co_Salesforce,co_Shopify,co_Snap,co_Stripe,co_Tesla,co_Uber,co_X (Twitter)
2001,13387,2083,15.6,3.89,25.1,1.0,4.7,0,0,7.992828863823112,7.567042653320385,1.9449112978524743,290580.4138343169,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2002,14400,0,0.0,2.7,42.8,1.7,5.8,0,0,13.194444444444445,-13.194444444444445,0.0,187500.0,7.992828863823112,13387.0,3.89,25.1,2083.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2003,12500,0,0.0,3.52,-1.8,2.8,6.0,0,0,4.0,-4.0,0.0,281600.0,13.194444444444445,14400.0,2.7,42.8,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,12000,60,0.5,5.0,-18.6,3.8,5.5,0,0,3.0,-2.5,0.16620498614958448,416666.6666666667,4.0,12500.0,3.52,-1.8,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,11700,0,0.0,5.85,15.2,3.5,5.1,0,0,15.726495726495726,-15.726495726495726,0.0,500000.0,3.0,12000.0,5.0,-18.6,60.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,9860,6435,65.3,5.65,47.2,2.8,4.6,0,0,2.9918864097363085,62.27180527383367,21.739864864864863,573022.3123732251,15.726495726495726,11700.0,5.85,15.2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,16000,900,5.6,6.01,-8.1,2.0,4.6,0,0,3.0,2.625,1.8711018711018712,375625.0,2.9918864097363085,9860.0,5.65,47.2,6435.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008,16420,0,0.0,5.81,-19.7,0.1,5.8,0,0,37.27161997563947,-37.27161997563947,0.0,353836.784409257,3.0,16000.0,6.01,-8.1,900.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,10300,924,9.0,5.4,35.6,-2.6,9.3,0,0,8.0,0.9708737864077669,1.12,524271.8446601942,37.27161997563947,16420.0,5.81,-19.7,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,10400,1012,9.7,6.49,0.0,2.7,9.6,0,1,3.0,6.730769230769231,3.2332268370607027,624038.4615384615,8.0,10300.0,5.4,35.6,924.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,11100,333,3.0,6.57,-27.6,1.6,8.9,0,1,3.0,0.0,0.9970059880239521,591891.8918918918,3.0,10400.0,6.49,0.0,1012.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,11100,0,0.0,5.42,38.7,2.3,8.1,0,1,4.504504504504505,-4.504504504504505,0.0,488288.2882882883,3.0,11100.0,6.57,-27.6,333.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,10600,0,0.0,5.3,7.4,1.8,7.4,0,1,4.254716981132075,-4.254716981132075,0.0,500000.0,4.504504504504505,11100.0,5.42,38.7,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,10149,0,0.0,5.51,2.9,2.5,6.2,0,1,4.424081190265051,-4.424081190265051,0.0,542910.6315893191,4.254716981132075,10600.0,5.3,7.4,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,9700,291,3.0,3.99,43.8,2.9,5.3,0,1,3.0,0.0,0.9965753424657534,411340.206185567,4.424081190265051,10149.0,5.51,2.9,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,9700,0,0.0,4.27,40.9,1.6,4.9,0,1,8.24742268041237,-8.24742268041237,0.0,440206.18556701025,3.0,9700.0,3.99,43.8,291.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,8900,467,5.2,5.33,-4.8,2.4,4.4,0,1,3.0,2.247191011235955,1.742537313432836,598876.404494382,8.24742268041237,9700.0,4.27,40.9,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,9100,1273,14.0,6.48,34.7,2.9,3.9,0,1,3.0,10.989010989010989,4.645985401459854,712087.9120879121,3.0,8900.0,5.33,-4.8,467.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,10100,1603,15.9,6.73,36.8,2.3,3.7,0,1,3.0,12.871287128712872,5.2730263157894735,666336.6336633663,3.0,9100.0,6.48,34.7,1273.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,11400,2842,24.9,9.76,18.6,-2.8,8.1,0,1,3.0,21.929824561403507,8.285714285714286,856140.350877193,3.0,10100.0,6.73,36.8,1603.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,13900,2017,14.5,16.43,43.6,5.8,5.4,0,1,3.0,11.510791366906476,4.8253588516746415,1182014.3884892086,3.0,11400.0,9.76,18.6,2842.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,15500,11430,73.7,23.6,-23.5,1.9,3.6,0,1,6.0,67.74193548387096,12.277121374865736,1522580.6451612904,3.0,13900.0,16.43,43.6,2017.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,26000,1560,6.0,22.68,40.5,2.5,3.7,0,1,6.0,0.0,0.9993593850096092,872307.6923076923,6.0,15500.0,23.6,-23.5,11430.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024,26000,2780,10.7,25.8,28.6,2.8,4.1,1,0,3.0,7.6923076923076925,3.559539052496799,992307.6923076923,6.0,26000.0,22.68,40.5,1560.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,28000,1840,6.6,28.5,22.5,2.3,4.2,1,0,3.0,3.571428571428571,2.187871581450654,1017857.1428571428,3.0,26000.0,25.8,28.6,2780.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2001,3007,233,7.7,1.23,29.0,1.0,4.7,0,0,7.981376787495844,-0.2327901563019621,0.966804979253112,409045.56035916193,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2002,3000,140,4.7,1.17,-5.3,1.7,5.8,0,0,8.0,-3.3333333333333335,0.5809128630705395,390000.0,7.981376787495844,3007.0,1.23,29.0,233.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2003,2900,287,9.9,1.3,-17.4,2.8,6.0,0,0,3.0,6.896551724137931,3.2613636363636362,448275.8620689655,8.0,3000.0,1.17,-5.3,140.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,3100,293,9.5,1.67,-26.5,3.8,5.5,0,0,3.0,6.451612903225806,3.117021276595745,538709.6774193548,3.0,2900.0,1.3,-17.4,287.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,3300,0,0.0,1.97,48.8,3.5,5.1,0,0,4.787878787878788,-4.787878787878788,0.0,596969.696969697,3.0,3100.0,1.67,-26.5,293.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,3142,3034,96.6,2.58,44.7,2.8,4.6,0,0,2.9917250159134308,93.57097390197326,31.936842105263157,821133.0362826225,4.787878787878788,3300.0,1.97,48.8,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,6082,600,9.9,3.16,21.1,2.0,4.6,0,0,2.9924366984544557,6.872739230516278,3.278688524590164,519565.9322591253,2.9917250159134308,3142.0,2.58,44.7,3034.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008,6500,1355,20.8,3.58,30.0,0.1,5.8,0,0,8.0,12.846153846153847,2.600767754318618,550769.2307692308,2.9924366984544557,6082.0,3.16,21.1,600.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,7335,0,0.0,2.95,31.5,-2.6,9.3,0,0,8.1799591002045,-8.1799591002045,0.0,402181.3224267212,8.0,6500.0,3.58,30.0,1355.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,6735,2584,38.4,3.8,16.9,2.7,9.6,0,1,2.9992576095025982,35.367483296213805,12.729064039408867,564216.7780252412,8.1799591002045,7335.0,2.95,31.5,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,9117,1081,11.9,4.22,-15.0,1.6,8.9,0,1,2.9944060546232314,8.862564440057035,3.9452554744525545,462871.5586267412,2.9992576095025982,6735.0,3.8,16.9,2584.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,9925,1516,15.3,4.4,5.8,2.3,8.1,0,1,2.9924433249370277,12.282115869017632,5.087248322147651,443324.9370277078,2.9944060546232314,9117.0,4.22,-15.0,1081.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,11144,1037,9.3,4.06,7.3,1.8,7.4,0,1,2.9971284996410623,6.308327351040918,3.0955223880597016,364321.60804020095,2.9924433249370277,9925.0,4.4,5.8,1516.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,11847,1007,8.5,4.15,42.3,2.5,6.2,0,1,2.9965392082383726,5.503502996539209,2.8286516853932584,350299.6539208239,2.9971284996410623,11144.0,4.06,7.3,1037.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,12499,1768,14.1,4.8,17.2,2.9,5.3,0,1,2.992239379150332,11.15289223137851,4.714666666666667,384030.7224577966,2.9965392082383726,11847.0,4.15,42.3,1007.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,13893,2229,16.0,5.85,-3.9,1.6,4.9,0,1,2.9943136831497874,13.04973727776578,5.345323741007194,421075.3616929389,2.992239379150332,12499.0,4.8,17.2,1768.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,15706,2738,17.4,7.3,36.5,2.4,4.4,0,1,2.9988539411689796,14.433974277346238,5.8008474576271185,464790.52591366356,2.9943136831497874,13893.0,5.85,-3.9,2229.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,17973,3923,21.8,9.03,32.8,2.9,3.9,0,1,2.9989428587325433,18.828242363545318,7.264814814814815,502420.29711233516,2.9988539411689796,15706.0,7.3,36.5,2738.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,21357,1799,8.4,11.17,19.6,2.3,3.7,0,1,2.9966755630472446,5.426792152455869,2.8065522620904835,523013.53186308936,2.9989428587325433,17973.0,9.03,32.8,3923.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,22516,793,3.5,12.87,21.0,-2.8,8.1,0,1,2.9978681826256883,0.5240717711849352,1.1730769230769231,571593.533487298,2.9966755630472446,21357.0,11.17,19.6,1799.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,22634,4033,17.8,15.79,20.2,5.8,5.4,0,1,2.999911637359724,14.818414774233455,5.930882352941176,697623.0449765839,2.9978681826256883,22516.0,12.87,21.0,793.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,25988,4810,18.5,17.61,-26.8,1.9,3.6,0,1,5.998922579652147,12.5096198245344,3.0833333333333335,677620.4402031706,2.999911637359724,22634.0,15.79,20.2,4033.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,29239,2382,8.1,19.41,96.5,2.5,3.7,0,1,5.998837169533842,2.147816272786347,1.3572649572649573,663839.3925920859,5.998922579652147,25988.0,17.61,-26.8,4810.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024,29867,1029,3.4,21.5,35.7,2.8,4.1,1,0,2.9999665182308233,0.4453075300498878,1.1471571906354514,719858.0372986909,5.998837169533842,29239.0,19.41,96.5,2382.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,30000,1400,4.7,23.0,19.9,2.3,4.2,1,0,3.0,1.6666666666666667,1.5538290788013318,766666.6666666666,2.9999665182308233,29867.0,21.5,35.7,1029.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,17,4,23.5,0.0,-5.5,-2.6,9.3,1,0,5.88235294117647,17.647058823529413,2.0,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,20,30,150.0,0.02,-7.1,2.7,9.6,1,0,0.0,150.0,30.0,1000000.0,5.88235294117647,17.0,0.0,-5.5,4.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,50,101,202.0,0.08,24.7,1.6,8.9,1,0,2.0,200.0,50.5,1600000.0,0.0,20.0,0.02,-7.1,30.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,150,254,169.3,0.15,-1.9,2.3,8.1,1,0,2.666666666666667,166.66666666666669,50.8,1000000.0,2.0,50.0,0.08,24.7,101.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,400,312,78.0,0.25,-21.8,1.8,7.4,1,0,3.0,75.0,24.0,625000.0,2.666666666666667,150.0,0.15,-1.9,254.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,700,321,45.9,0.42,39.7,2.5,6.2,1,0,3.0,42.857142857142854,14.590909090909092,600000.0,3.0,400.0,0.25,-21.8,312.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,1000,1030,103.0,0.92,-3.8,2.9,5.3,1,0,3.0,100.0,33.225806451612904,920000.0,3.0,700.0,0.42,39.7,321.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,2000,1160,58.0,1.66,39.0,1.6,4.9,1,0,3.0,55.00000000000001,19.016393442622952,830000.0,3.0,1000.0,0.92,-3.8,1030.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,3100,1393,44.9,2.56,11.0,2.4,4.4,1,0,3.0,41.935483870967744,14.819148936170214,825806.4516129033,3.0,2000.0,1.66,39.0,1160.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,4400,1032,23.5,3.65,28.7,2.9,3.9,1,0,3.0,20.454545454545457,7.7593984962406015,829545.4545454546,3.0,3100.0,2.56,11.0,1393.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,5300,959,18.1,4.81,43.6,2.3,3.7,1,0,3.0,15.09433962264151,5.99375,907547.1698113207,3.0,4400.0,3.65,28.7,1032.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,6100,0,0.0,3.38,93.4,-2.8,8.1,1,0,8.19672131147541,-8.19672131147541,0.0,554098.3606557377,3.0,5300.0,4.81,43.6,959.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,5600,1368,24.4,5.99,78.9,5.8,5.4,1,0,3.0,21.428571428571427,8.094674556213018,1069642.857142857,8.19672131147541,6100.0,3.38,93.4,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,6800,508,7.5,8.4,-53.3,1.9,3.6,1,0,6.0,1.4705882352941175,1.2420537897310513,1235294.1176470588,3.0,5600.0,5.99,78.9,1368.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,6900,414,6.0,9.92,92.0,2.5,3.7,1,0,6.0,0.0,0.9975903614457832,1437681.1594202898,6.0,6800.0,8.4,-53.3,508.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2024,6900,507,7.3,11.1,58.5,2.8,4.1,1,0,3.0,4.3478260869565215,2.4375,1608695.652173913,6.0,6900.0,9.92,92.0,414.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025,7200,516,7.2,12.5,-7.9,2.3,4.2,1,0,3.0,4.166666666666666,2.377880184331797,1736111.111111111,3.0,6900.0,11.1,58.5,507.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,2567,531,20.7,3.19,-10.1,3.8,5.5,0,0,2.999610440202571,17.6860148032723,6.8076923076923075,1242695.753798208,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,3021,2749,91.0,6.14,-10.1,3.5,5.1,0,0,2.9791459781529297,88.01721284342932,30.208791208791208,2032439.5895398874,2.999610440202571,2567.0,3.19,-10.1,531.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,5680,5164,90.9,10.6,39.1,2.8,4.6,0,0,2.992957746478873,87.9225352112676,30.198830409356724,1866197.1830985916,2.9791459781529297,3021.0,6.14,-10.1,2749.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,10674,6451,60.4,16.59,-2.5,2.0,4.6,0,0,2.9979389169945665,57.43863593779277,20.09657320872274,1554243.9572793704,2.992957746478873,5680.0,10.6,39.1,5164.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008,16805,4761,28.3,21.8,45.2,0.1,5.8,0,0,7.997619756024993,20.333234156501042,3.5397769516728625,1297232.966379054,2.9979389169945665,10674.0,16.59,-2.5,6451.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,20222,1230,6.1,23.65,-24.8,-2.6,9.3,0,0,7.996241716941944,-1.9137572940361982,0.7601977750309024,1169518.3463554545,7.997619756024993,16805.0,21.8,45.2,4761.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,19835,5160,26.0,29.32,18.3,2.7,9.6,0,1,2.9997479203428283,23.01487269977313,8.657718120805368,1478195.1096546508,7.996241716941944,20222.0,23.65,-24.8,1230.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,24400,8799,36.1,37.91,-12.1,1.6,8.9,0,1,3.0,33.06147540983606,12.004092769440655,1553688.524590164,2.9997479203428283,19835.0,29.32,18.3,5160.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,32467,22368,68.9,50.18,-7.3,2.3,8.1,0,1,2.9999691994948714,65.894600671451,22.94153846153846,1545569.3473372962,3.0,24400.0,37.91,-12.1,8799.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
