model,CV_MAE,CV_RMSE,CV_MedianAE,CV_F1,CV_Precision,CV_Recall,folds
Empirical Bayes company-history model,1.5454602979256273,2.8019469470832172,0.848468893707583,0.011764705882352941,0.058823529411764705,0.0065359477124183,17
Baseline: global median,1.6070047686509743,2.8662630969165623,0.9414771643757582,0.0,0.0,0.0,17
Baseline: current-year layoff pct,1.6328452793426589,3.465868542643528,0.7654853007246674,0.10149942329873127,0.14705882352941177,0.1147875816993464,17
Baseline: company median,1.7496274255714719,3.017708413736863,0.9520011379952538,0.0,0.0,0.0,17
Residual LightGBM,1.8237819011618888,3.0274266226933872,1.1703068494598066,0.058823529411764705,0.058823529411764705,0.058823529411764705,17
Direct Random Forest,1.8573362670730713,3.0055638339096022,1.2316701213732129,0.058823529411764705,0.058823529411764705,0.058823529411764705,17
Direct Hist Gradient Boosting,1.8578631287809195,3.0920216414005623,1.3057886961660665,0.02557544757033248,0.058823529411764705,0.016339869281045753,17
Residual Random Forest,1.8639262686208746,3.02218283628895,1.2172496653231588,0.058823529411764705,0.058823529411764705,0.058823529411764705,17
Direct LightGBM,1.875625793563447,3.080259833989707,1.2098641892141828,0.058823529411764705,0.058823529411764705,0.058823529411764705,17
Residual Gradient Boosting,1.9255629590674914,3.0791338665730805,1.2900646397721625,0.0,0.0,0.0,17
Direct Gradient Boosting,1.938405611899677,3.0883627123018593,1.3091984914722192,0.0,0.0,0.0,17
Residual Hist Gradient Boosting,1.9464124060970613,3.0954914453887206,1.3221631804705936,0.01680672268907563,0.058823529411764705,0.00980392156862745,17
Direct Tweedie / NB-style Regression,1.9881561714429314,3.2575117378293066,1.3024034953656274,0.058823529411764705,0.058823529411764705,0.058823529411764705,17
Residual XGBoost,2.0305906240017095,3.290361490055417,1.3655508264476846,0.05232805196381958,0.14705882352941177,0.06576797385620915,17
Direct Poisson Regression,2.0306168030057954,3.331142448326283,1.3514709041593989,0.058823529411764705,0.058823529411764705,0.058823529411764705,17
Direct XGBoost,2.0678834428640074,3.3208786465059283,1.411579715870776,0.013112365689309778,0.11764705882352941,0.006944444444444444,17
Direct Ridge,2.850891740487601,4.0070625578169095,2.3212417498439475,0.06574394463667821,0.11764705882352941,0.0625,17
Residual Ridge,2.8585032296889685,4.014466250307531,2.3122634041046086,0.0853517877739331,0.1323529411764706,0.09191176470588236,17
Direct ElasticNet,3.1064676539331213,4.261623676179478,2.597722573877943,0.0853517877739331,0.1323529411764706,0.09191176470588236,17
Residual ElasticNet,3.1112074801487597,4.271489651051232,2.60052695083257,0.0853517877739331,0.1323529411764706,0.09191176470588236,17
Direct MLP Regressor,3.1780100264637343,5.240086173977104,1.697677468227396,0.03294117647058824,0.058823529411764705,0.022875816993464054,17
Residual Huber,3.714244095230729,4.7476289238919085,3.308225329810599,0.017383098321867692,0.06429844665138783,0.1213235294117647,17
Direct Huber,3.7508512524489928,4.798098158381962,3.3432112964377643,0.02718701989049514,0.06964604023427552,0.1801470588235294,17
