feature,importance
year,0.17466213192205082
sp500_return,0.15542599111037567
unemployment_rate_us_pct,0.12013304809459038
gdp_growth_us_pct,0.11746000244292294
attrition_rate_pct,0.07372506944151336
layoff_pct_log,0.07135678631225584
fed_rate,0.06561746584949378
stock_price_change_pct,0.04227906187056308
hire_to_layoff_ratio,0.02348240596682989
employees_start,0.019214513943541386
net_change,0.01899405182747434
recession,0.017772230962116095
revenue_billions_usd,0.01611445271517782
workforce_growth_pct,0.015024624734398858
hiring_rate_pct,0.01391793525218155
new_hires,0.013535489421094461
employees_end,0.013410532993306851
revenue_per_employee,0.009295868307397932
co_AMD,0.006188061568153469
co_Microsoft,0.00282680654617544
co_NVIDIA,0.0010298015247266932
co_Intel,0.0009897080119142204
co_Alphabet,0.0009460174122986853
co_Netflix,0.0008904920798268182
co_X (Twitter),0.0007441789785936886
co_PayPal,0.0005619800160101815
co_Apple,0.00048269045635053275
co_Meta,0.0004011129320375097
co_Adobe,0.00039336968968721
co_Tesla,0.00037694501593975695
co_Amazon,0.00037324127787429954
co_SAP,0.00032132855523717575
co_Airbnb,0.00030666432494960016
co_Lyft,0.0002661394565738688
co_Block,0.0002254920912437951
co_Uber,0.00022208893956878752
co_Stripe,0.0001872537305451309
co_Pinterest,0.0001870614252260039
co_Oracle,0.00016838430837445696
co_Snap,0.0001563368887994
co_Salesforce,0.00014050393852203845
co_Shopify,0.00012752342330506856
co_LinkedIn,6.515424078113672e-05
