eval_year,n_test,model,group,source,status,ROC_AUC,F1,precision,recall,accuracy,positive_rate
2006,18,Repo Logistic Regression,Repo classification,next_year.py,ok,0.3529411764705882,0.0,0.0,0.0,0.8888888888888888,0.05555555555555555
2006,18,Repo Random Forest Classifier,Repo classification,next_year.py,ok,1.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
2006,18,Repo Gradient Boosting Classifier,Repo classification,next_year.py,ok,0.9411764705882353,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
2006,18,Repo XGBoost Classifier,Repo classification,next_year.py,ok,0.9411764705882353,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
2006,18,Repo SVM,Repo classification,next_year.py,ok,0.9411764705882353,0.0,0.0,0.0,0.8888888888888888,0.05555555555555555
2006,18,Broad Logistic Regression balanced,Broad classification,recommended comparison,ok,0.17647058823529416,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555
2007,18,Repo Logistic Regression,Repo classification,next_year.py,ok,,0.10526315789473684,1.0,0.05555555555555555,0.05555555555555555,1.0
2007,18,Repo Random Forest Classifier,Repo classification,next_year.py,ok,,0.10526315789473684,1.0,0.05555555555555555,0.05555555555555555,1.0
2007,18,Repo Gradient Boosting Classifier,Repo classification,next_year.py,ok,,0.10526315789473684,1.0,0.05555555555555555,0.05555555555555555,1.0
2007,18,Repo XGBoost Classifier,Repo classification,next_year.py,ok,,0.10526315789473684,1.0,0.05555555555555555,0.05555555555555555,1.0
2007,18,Repo SVM,Repo classification,next_year.py,ok,,0.2,1.0,0.1111111111111111,0.1111111111111111,1.0
2007,18,Broad Logistic Regression balanced,Broad classification,recommended comparison,ok,,0.10526315789473684,1.0,0.05555555555555555,0.05555555555555555,1.0
2008,18,Repo Logistic Regression,Repo classification,next_year.py,ok,,1.0,1.0,1.0,1.0,1.0
2008,18,Repo Random Forest Classifier,Repo classification,next_year.py,ok,,0.2,1.0,0.1111111111111111,0.1111111111111111,1.0
2008,18,Repo Gradient Boosting Classifier,Repo classification,next_year.py,ok,,0.10526315789473684,1.0,0.05555555555555555,0.05555555555555555,1.0
