feature,importance
num__gdp_growth_us_pct_lag3,0.30913587332970227
num__sp500_return,0.3053403240330608
num__year,0.057382654181826025
num__unemployment_rate_us_pct_lag3,0.04323260177588936
num__gdp_growth_us_pct,0.0314024851010555
num__unemployment_rate_us_pct,0.028964552832664286
num__unemployment_rate_us_pct_lag1,0.023147975364049077
num__fed_rate,0.018827296069262773
num__gdp_growth_us_pct_lag2,0.01569767238990216
num__employee_start_growth_pct,0.014860083279539745
num__layoff_pct_expanding_mean,0.010822252875735404
num__recession,0.010600390542645955
num__employees_end,0.008835444558634517
num__gdp_growth_us_pct_lag1,0.00873963682806774
num__layoff_pct_roll3_mean,0.006959997841939907
num__new_hires,0.006786889168797704
num__layoff_pct_roll5_mean,0.006674926650417491
num__revenue_billions_usd,0.0065842527392460755
cat__company_AMD,0.006228342026329168
num__log_layoff_pct_lag1,0.005362588577034375
cat__company_X (Twitter),0.005211243980485363
num__revenue_billions_usd_lag1,0.004848926079194649
num__layoff_pct_lag3,0.004269953545722141
num__stock_price_change_pct_lag2,0.004252962449806898
num__stock_price_change_pct_lag3,0.004237501162777138
num__revenue_per_employee,0.003970620219809205
num__stock_price_change_pct,0.003699003010633917
num__layoff_pct_lag1,0.003399980648677785
num__employee_growth_pct,0.003171511690091734
num__attrition_rate_pct_lag1,0.003073959522140428
