model,CV_MAE,CV_RMSE,CV_MedianAE,CV_F1,CV_Precision,CV_Recall,folds
Empirical Bayes company-history model,1.5454602979256271,2.801946947083217,0.848468893707583,0.0117647058823529,0.0588235294117647,0.0065359477124183,17
Baseline: global median,1.6070047686509743,2.8662630969165623,0.9414771643757582,0.0,0.0,0.0,17
Baseline: current-year layoff pct,1.6328452793426589,3.465868542643528,0.7654853007246674,0.1014994232987312,0.1470588235294117,0.1147875816993464,17
Baseline: company median,1.749627425571472,3.017708413736863,0.9520011379952538,0.0,0.0,0.0,17
Residual LightGBM,1.8237819011618888,3.0274266226933872,1.1703068494598066,0.0588235294117647,0.0588235294117647,0.0588235294117647,17
Direct Random Forest,1.8573362670730715,3.0055638339096022,1.2316701213732129,0.0588235294117647,0.0588235294117647,0.0588235294117647,17
Direct Hist Gradient Boosting,1.8578631287809195,3.0920216414005623,1.3057886961660663,0.0255754475703324,0.0588235294117647,0.0163398692810457,17
Residual Random Forest,1.8639262686208744,3.02218283628895,1.2172496653231588,0.0588235294117647,0.0588235294117647,0.0588235294117647,17
Direct LightGBM,1.875625793563447,3.080259833989707,1.2098641892141828,0.0588235294117647,0.0588235294117647,0.0588235294117647,17
Residual Gradient Boosting,1.9255629590674916,3.0791338665730805,1.2900646397721625,0.0,0.0,0.0,17
Direct Gradient Boosting,1.938405611899677,3.0883627123018598,1.3091984914722192,0.0,0.0,0.0,17
Residual Hist Gradient Boosting,1.9464124060970611,3.095491445388721,1.3221631804705936,0.0168067226890756,0.0588235294117647,0.0098039215686274,17
Direct Tweedie / NB-style Regression,1.9881561714429317,3.2575117378293066,1.3024034953656274,0.0588235294117647,0.0588235294117647,0.0588235294117647,17
Residual XGBoost,2.030590624001709,3.290361490055417,1.3655508264476846,0.0523280519638195,0.1470588235294117,0.0657679738562091,17
Direct Poisson Regression,2.0306168030057954,3.331142448326283,1.3514709041593989,0.0588235294117647,0.0588235294117647,0.0588235294117647,17
Direct XGBoost,2.0678834428640074,3.3208786465059283,1.411579715870776,0.0131123656893097,0.1176470588235294,0.0069444444444444,17
Direct Ridge,2.850891740487601,4.0070625578169095,2.3212417498439475,0.0657439446366782,0.1176470588235294,0.0625,17
Residual Ridge,2.8585032296889685,4.014466250307531,2.3122634041046086,0.0853517877739331,0.1323529411764706,0.0919117647058823,17
Direct ElasticNet,3.1064676539331213,4.261623676179478,2.597722573877943,0.0853517877739331,0.1323529411764706,0.0919117647058823,17
Residual ElasticNet,3.11120748014876,4.271489651051232,2.60052695083257,0.0853517877739331,0.1323529411764706,0.0919117647058823,17
Direct MLP Regressor,3.1780100264637343,5.240086173977104,1.697677468227396,0.0329411764705882,0.0588235294117647,0.022875816993464,17
Residual Huber,3.714244095230729,4.7476289238919085,3.308225329810599,0.0173830983218676,0.0642984466513878,0.1213235294117647,17
Direct Huber,3.7508512524489928,4.798098158381962,3.3432112964377643,0.0271870198904951,0.0696460402342755,0.1801470588235294,17
