group,evaluation,model,source,primary_metric,primary_metric_value,RMSE_pct_points,R2,notes
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Baseline: global median,compare_all_models.py,MAE_pct_points,0.1250344872327472,0.6321504320548657,-0.0401291154960272,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Baseline: company median,compare_all_models.py,MAE_pct_points,0.1452912172356204,0.6400107975929219,-0.0661565447100198,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Empirical Bayes company-history model,compare_all_models.py,MAE_pct_points,1.094360436987513,2.093224818434746,-10.404549272124546,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct Poisson Regression,compare_all_models.py,MAE_pct_points,2.1363913124592697,3.279805325634149,-26.9989992331041,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct Hist Gradient Boosting,compare_all_models.py,MAE_pct_points,2.527191731295522,2.5911323639517074,-16.4753375329077,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Residual Gradient Boosting,compare_all_models.py,MAE_pct_points,2.709342911664236,2.907604135530727,-21.00477493622829,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct Tweedie / NB-style Regression,compare_all_models.py,MAE_pct_points,2.743963404056308,4.247485386500581,-45.95806167591549,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct Gradient Boosting,compare_all_models.py,MAE_pct_points,2.7808513298149826,2.9630200974748284,-21.85154507546982,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Residual ElasticNet,compare_all_models.py,MAE_pct_points,2.7947836088012576,3.273184474519698,-26.886071739546164,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct ElasticNet,compare_all_models.py,MAE_pct_points,2.796806718802921,3.2855942669474456,-27.09792437591602,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Residual Hist Gradient Boosting,compare_all_models.py,MAE_pct_points,2.8275922211083997,2.8677963623102145,-20.406368348788885,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct Ridge,compare_all_models.py,MAE_pct_points,2.8887288666839908,3.367794551752223,-28.521441190759763,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Residual Ridge,compare_all_models.py,MAE_pct_points,2.891039608444081,3.3535104745177664,-28.271549296027416,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct MLP Regressor,compare_all_models.py,MAE_pct_points,3.493785349752336,4.706300510975464,-56.65084597748976,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Baseline: current-year layoff pct,compare_all_models.py,MAE_pct_points,4.318349999337381,12.285722500522947,-391.8690153989945,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Residual Random Forest,compare_all_models.py,MAE_pct_points,4.351549761130574,4.758148612394007,-57.92809204482808,Final test set has estimated targets only; use cautiously.
broad_model_zoo_and_optimal_models,final_test_estimated_targets_only,Direct Random Forest,compare_all_models.py,MAE_pct_points,4.5103942256065,4.882037145621798,-61.03667805961765,Final test set has estimated targets only; use cautiously.
