year,employees_start,employees_end,new_hires,net_change,hiring_rate_pct,attrition_rate_pct,revenue_billions_usd,stock_price_change_pct,gdp_growth_us_pct,unemployment_rate_us_pct,layoff_pct_log,layoff_pct_next_log,workforce_growth_pct,hire_to_layoff_ratio,revenue_per_employee,co_AMD,co_Adobe,co_Airbnb,co_Alphabet,co_Amazon,co_Apple,co_Block,co_Intel,co_LinkedIn,co_Lyft,co_Meta,co_Microsoft,co_NVIDIA,co_Netflix,co_Oracle,co_PayPal,co_Pinterest,co_SAP,co_Salesforce,co_Shopify,co_Snap,co_Stripe,co_Tesla,co_Uber,co_X (Twitter),fed_rate,sp500_return,recession
2001,13387,14400,2083,1013,15.6,8.0,3.89,25.1,1.0,4.7,2.1964274668194834,2.6528506517475945,7.567042653320385,1.9449112978524743,290580.4138343169,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.75,-11.9,1.0
2002,14400,12500,0,-1900,0.0,13.2,2.7,42.8,1.7,5.8,2.6528506517475945,1.6094379124341003,-13.194444444444445,0.0,187500.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.25,-22.1,0.0
2003,12500,12000,0,-500,0.0,4.0,3.52,-1.8,2.8,6.0,1.6094379124341003,1.3862943611198906,-4.0,0.0,281600.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,28.7,0.0
2004,12000,11700,60,-300,0.5,3.0,5.0,-18.6,3.8,5.5,1.3862943611198906,2.8169940325983203,-2.5,0.16620498614958448,416666.6666666667,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.25,10.9,0.0
2005,11700,9860,0,-1840,0.0,15.7,5.85,15.2,3.5,5.1,2.8169940325983203,1.3842639035695086,-15.726495726495726,0.0,500000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.25,4.9,0.0
2006,9860,16000,6435,6140,65.3,3.0,5.65,47.2,2.8,4.6,1.3842639035695086,1.3862943611198906,62.27180527383367,21.739864864864863,573022.3123732251,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.25,15.8,0.0
2007,16000,16420,900,420,5.6,3.0,6.01,-8.1,2.0,4.6,1.3862943611198906,3.644708628712592,2.625,1.8711018711018712,375625.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.25,5.5,0.0
2008,16420,10300,0,-6120,0.0,37.3,5.81,-19.7,0.1,5.8,3.644708628712592,2.1972245773362196,-37.27161997563947,0.0,353836.784409257,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,-37.0,1.0
2009,10300,10400,924,100,9.0,8.0,5.4,35.6,-2.6,9.3,2.1972245773362196,1.3862943611198906,0.9708737864077669,1.12,524271.8446601942,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,26.5,1.0
2010,10400,11100,1012,700,9.7,3.0,6.49,0.0,2.7,9.6,1.3862943611198906,1.3862943611198906,6.730769230769231,3.2332268370607027,624038.4615384615,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,15.1,0.0
2011,11100,11100,333,0,3.0,3.0,6.57,-27.6,1.6,8.9,1.3862943611198906,1.7055667578592613,0.0,0.9970059880239521,591891.8918918918,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,2.1,0.0
2012,11100,10600,0,-500,0.0,4.5,5.42,38.7,2.3,8.1,1.7055667578592613,1.659126145815217,-4.504504504504505,0.0,488288.2882882883,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,16.0,0.0
2013,10600,10149,0,-451,0.0,4.3,5.3,7.4,1.8,7.4,1.659126145815217,1.6908485192327478,-4.254716981132075,0.0,500000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,32.4,0.0
2014,10149,9700,0,-449,0.0,4.4,5.51,2.9,2.5,6.2,1.6908485192327478,1.3862943611198906,-4.424081190265051,0.0,542910.6315893191,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25,13.7,0.0
2015,9700,9700,291,0,3.0,3.0,3.99,43.8,2.9,5.3,1.3862943611198906,2.224344883555413,0.0,0.9965753424657534,411340.206185567,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5,1.4,0.0
